# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
少なくとも	59	22	少なく|とも	少なく|とも:37 少なくとも:20 少なく|と|も:2	train=58,val=1
本当です	47	22	本当|です	本当|です:25 本当です:22	train=46,val=1
別に	120	21	別に	別に:99 別|に:21	test=2,train=118
とっても	64	21	とっても	とっても:43 とって|も:21	train=64
だれか	49	21	だれ|か	だれ|か:28 だれか:21	test=1,train=47,val=1
死に	44	21	死|に	死|に:23 死に:21	train=43,val=1
そうだ	161	20	そう|だ	そう|だ:141 そうだ:20	train=159,val=2
僕ら	148	20	僕ら	僕ら:128 僕|ら:20	train=148
二度と	163	19	二度|と	二度|と:144 二度と:19	test=1,train=161,val=1
急に	162	19	急|に	急|に:143 急に:19	train=162
いいね	92	19	いい|ね	いい|ね:73 いいね:19	test=1,train=90,val=1
必ずしも	76	19	必ず|しも	必ず|しも:57 必ずしも:19	train=76
いっぱいだ	41	19	いっぱい|だ	いっぱい|だ:22 いっぱいだ:19	train=41
それから	105	18	それ|から	それ|から:87 それから:18	test=2,train=103
そのまま	72	18	そのまま	そのまま:54 その|まま:18	test=1,train=71
のようだ	71	18	の|よう|だ	の|よう|だ:53 の|ようだ:17 のようだ:1	train=70,val=1
値する	62	18	値する	値する:44 値|する:18	train=62
きちんと	58	18	きちんと	きちんと:40 きちん|と:18	train=57,val=1
共に	55	18	共に	共に:37 共|に:18	train=55
わたしたち	37	18	わたし|たち	わたし|たち:19 わたしたち:18	train=37
何で	490	17	何|で	何|で:473 何で:17	test=3,train=486,val=1
ようだ	162	17	よう|だ	よう|だ:145 ようだ:17	train=160,val=2
ちゃんと	123	17	ちゃんと	ちゃんと:106 ちゃん|と:17	train=121,val=2
はいかがです	96	17	は|いかがです	は|いかがです:79 は|いかが|です:12 はいかがです:5	test=1,train=95
いくらか	72	17	いくらか	いくらか:55 いくら|か:17	train=71,val=1
愛する	57	17	愛する	愛する:40 愛|する:17	train=57
間違いない	35	17	間違い|ない	間違い|ない:18 間違いない:17	train=35
なって	1191	16	なって	なって:1175 な|って:16	test=9,train=1174,val=8
だが	546	16	だ|が	だ|が:530 だが:16	test=3,train=538,val=5
たまに	56	16	たまに	たまに:40 たま|に:16	test=1,train=54,val=1
あっても	49	16	あって|も	あって|も:33 あっても:16	train=49
カナダ人	46	16	カナダ人	カナダ人:30 カナダ|人:16	train=45,val=1
ちがいない	43	16	ちがいない	ちがいない:27 ちがい|ない:16	train=43
いっぱいだった	39	16	いっぱい|だった	いっぱい|だった:23 いっぱいだった:16	train=39
なんだって	27	16	な|ん|だ|って	な|ん|だ|って:11 なんだって:7 な|ん|だって:5 なん|だ|って:3 なん|だって:1	train=27
どの	703	15	どの	どの:688 ど|の:15	test=5,train=692,val=6
はいけない	230	15	は|いけない	は|いけない:215 はいけない:15	test=2,train=226,val=2
どのように	124	15	どの|よう|に	どの|よう|に:109 どのように:15	test=1,train=121,val=2
何度も	117	15	何度|も	何度|も:102 何度も:15	test=1,train=115,val=1
はいる	73	15	は|いる	は|いる:58 はいる:15	train=73
なるほど	52	15	なる|ほど	なる|ほど:37 なるほど:15	train=50,val=2
じゃねえ	47	15	じゃねえ	じゃねえ:32 じゃ|ねえ:15	test=1,train=46
海外旅行	43	15	海外旅行	海外旅行:28 海外|旅行:15	train=43
ほんとに	42	15	ほんと|に	ほんと|に:27 ほんとに:15	test=1,train=41
仕事中	32	15	仕事|中	仕事|中:17 仕事中:15	test=1,train=31
ほんの	105	14	ほんの	ほんの:91 ほん|の:14	train=105
をつかんだ	62	14	を|つかんだ	を|つかんだ:48 をつかんだ:14	test=1,train=61
本当で	36	14	本当|で	本当|で:22 本当で:14	train=36
反対だ	30	14	反対|だ	反対|だ:16 反対だ:14	train=29,val=1
何と	261	13	何|と	何|と:248 何と:13	train=260,val=1
絶対に	131	13	絶対|に	絶対|に:118 絶対に:13	test=1,train=129,val=1
どれぐらい	74	13	どれ|ぐらい	どれ|ぐらい:61 どれぐらい:13	train=74
朝早く	57	13	朝|早く	朝|早く:44 朝早く:13	train=57
やいなや	45	13	やいなや	やいなや:32 や|いなや:13	train=45
し始めた	42	13	し始めた	し始めた:29 し|始めた:13	test=1,train=41
木の葉	42	13	木の葉	木の葉:29 木|の|葉:13	train=41,val=1
徐々に	41	13	徐々|に	徐々|に:28 徐々に:13	train=41
・・・	35	13	・・・	・・・:22 ・|・|・:13	train=35
約17人	28	13	約17人	約17人:15 約|17人:13	train=28
殺人事件	27	13	殺人|事件	殺人|事件:14 殺人事件:13	train=27
では	3158	12	で|は	で|は:3146 では:12	test=23,train=3112,val=23
したら	325	12	したら	したら:313 した|ら:12	test=2,train=320,val=3
別の	261	12	別|の	別|の:249 別の:12	test=1,train=259,val=1
――	153	12	―|―	―|―:141 ――:12	train=153
からだ	117	12	から|だ	から|だ:105 からだ:12	train=116,val=1
どうも	99	12	どうも	どうも:87 どう|も:12	test=2,train=96,val=1
どんなに	87	12	どんな|に	どんな|に:75 どんなに:12	train=86,val=1
愛してる	82	12	愛|してる	愛|してる:70 愛してる:12	train=82
だっけ	76	12	だ|っけ	だ|っけ:64 だっけ:12	train=76
泣き出した	64	12	泣き出した	泣き出した:52 泣き|出した:12	train=63,val=1
なくなって	54	12	なくなって	なくなって:42 なく|なって:12	train=53,val=1
大っ嫌い	50	12	大っ嫌い	大っ嫌い:38 大っ|嫌い:12	train=49,val=1
いるようだった	46	12	いるようだった	いるようだった:34 いる|よう|だった:12	test=1,train=45
にわか雨	44	12	にわか雨	にわか雨:32 にわか|雨:9 に|わか雨:3	train=43,val=1
この間	32	12	この間	この間:20 この|間:12	train=31,val=1
よくなった	27	12	よく|なった	よく|なった:15 よくなった:12	train=27
約40人	24	12	約40人	約40人:12 約|40人:12	train=24
なんか	213	11	なんか	なんか:202 なん|か:10 な|ん|か:1	test=2,train=208,val=3
お名前	79	11	お名前	お名前:68 お|名前:11	train=78,val=1
賛成です	57	11	賛成|です	賛成|です:46 賛成です:11	train=57
あ～	46	11	あ|～	あ|～:35 あ～:11	train=45,val=1
なんでしょう	45	11	な|ん|でしょう	な|ん|でしょう:34 なん|でしょう:7 なんでしょう:4	train=45
世の中	39	11	世|の|中	世|の|中:28 世の中:11	train=39
学生時代	34	11	学生|時代	学生|時代:23 学生時代:11	train=34
でなければ	29	11	で|なければ	で|なければ:18 でなければ:11	train=28,val=1
いまだに	28	11	いまだ|に	いまだ|に:17 いまだに:11	train=28
約37人	24	11	約|37人	約|37人:13 約37人:11	train=24
約54人	23	11	約|54人	約|54人:12 約54人:11	train=23
遠くで	23	11	遠くで	遠くで:12 遠く|で:11	train=23
主に	22	11	主に	主に:11 主|に:11	test=1,train=21
約43人	22	11	約43人	約43人:11 約|43人:11	train=22
一晩中	80	10	一晩|中	一晩|中:70 一晩中:10	test=1,train=78,val=1
これまで	65	10	これ|まで	これ|まで:55 これまで:10	train=65
ありがとうございました	61	10	ありがとう|ございました	ありがとう|ございました:51 ありがとうございました:10	train=60,val=1
夜遅く	56	10	夜|遅く	夜|遅く:46 夜遅く:10	test=1,train=55
髪の毛	49	10	髪|の|毛	髪|の|毛:39 髪の毛:10	train=47,val=2
近いうち	29	10	近い|うち	近い|うち:19 近いうち:10	train=29
見えなくなった	28	10	見えなく|なった	見えなく|なった:18 見えなくなった:10	train=28
だそうだ	26	10	だそうだ	だそうだ:16 だ|そう|だ:10	train=26
監視隊	26	10	監視|隊	監視|隊:16 監視隊:10	train=26
さもないと	25	10	さも|ない|と	さも|ない|と:15 さもないと:9 さ|も|ない|と:1	train=25
約11人	25	10	約11人	約11人:15 約|11人:10	train=25
約27人	25	10	約27人	約27人:15 約|27人:10	train=25
約36人	23	10	約36人	約36人:13 約|36人:10	train=23
しな	22	10	しな	しな:12 し|な:10	test=1,train=21
約45人	22	10	約45人	約45人:12 約|45人:10	train=22
ゆえに	21	10	ゆえ|に	ゆえ|に:11 ゆえに:10	train=21
入学試験	20	10	入学試験	入学試験:10 入学|試験:10	train=20
です	11446	9	です	です:11437 で|す:9	test=81,train=11288,val=77
大好きな	174	9	大好き|な	大好き|な:165 大好きな:9	train=173,val=1
奴ら	82	9	奴ら	奴ら:73 奴|ら:9	test=1,train=80,val=1
なんでも	60	9	なん|で|も	なん|で|も:51 なんでも:9	train=60
～っ	54	9	～|っ	～|っ:45 ～っ:9	train=53,val=1
ようです	53	9	よう|です	よう|です:44 ようです:9	test=1,train=52
ごめんなさい	39	9	ごめんなさい	ごめんなさい:30 ごめん|なさい:9	train=39
町中	36	9	町中	町中:27 町|中:9	train=36
はいられない	33	9	は|いられない	は|いられない:24 はいられない:6 は|い|られない:3	train=33
時間どおり	29	9	時間|どおり	時間|どおり:20 時間どおり:9	train=28,val=1
約3.5km	27	9	約|3.5|km	約|3.5|km:18 約|3.5km:7 約3.5km:2	train=27
いるようです	25	9	いるようです	いるようです:16 いる|よう|です:9	test=1,train=24
約12人	23	9	約|12人	約|12人:14 約12人:9	train=23
窓ガラス	22	9	窓ガラス	窓ガラス:13 窓|ガラス:9	train=22
約10人	22	9	約|10人	約|10人:13 約10人:9	train=22
馬鹿で	22	9	馬鹿|で	馬鹿|で:13 馬鹿で:9	train=22
約87人	21	9	約87人	約87人:12 約|87人:9	train=21
約23人	19	9	約|23人	約|23人:10 約23人:9	train=19
約24人	19	9	約24人	約24人:10 約|24人:9	train=19
休暇中	18	9	休暇中	休暇中:9 休暇|中:9	train=18
何かしら	17	9	何|か|しら	何|か|しら:8 何|かしら:7 何かしら:2	test=1,train=16
第二次世界大戦	16	9	第二次|世界|大戦	第二次|世界|大戦:7 第二次|世界大戦:6 第二次世界大戦:3	train=16
それでも	128	8	それ|で|も	それ|で|も:120 それでも:8	test=1,train=127
なのに	101	8	な|のに	な|のに:93 な|の|に:5 なのに:3	test=1,train=100
なくして	60	8	なくして	なくして:52 なく|して:8	test=1,train=59
お前ら	52	8	お前ら	お前ら:44 お前|ら:8	train=52
なんとか	49	8	なんとか	なんとか:41 なんと|か:8	train=49
勝手に	47	8	勝手|に	勝手|に:39 勝手に:8	train=45,val=2
病気だった	46	8	病気|だった	病気|だった:38 病気だった:8	test=1,train=44,val=1
行ってた	46	8	行ってた	行ってた:38 行って|た:8	train=45,val=1
もっとも	44	8	もっとも	もっとも:36 もっと|も:8	train=44
出来るだけ	44	8	出来る|だけ	出来る|だけ:36 出来るだけ:8	train=44
病気だ	43	8	病気|だ	病気|だ:35 病気だ:8	train=43
といえば	39	8	と|いえば	と|いえば:31 といえば:8	train=39
降り始めた	37	8	降り始めた	降り始めた:29 降り|始めた:8	train=37
お電話	36	8	お電話	お電話:28 お|電話:8	train=36
直ちに	34	8	直ちに	直ちに:26 直ち|に:8	train=32,val=2
たん	31	8	た|ん	た|ん:23 たん:8	train=31
はいかない	31	8	は|いかない	は|いかない:23 はいかない:8	train=31
やる気	31	8	やる気	やる気:23 やる|気:8	test=1,train=30
かって	30	8	か|って	か|って:22 かって:8	train=30
礼儀正しい	30	8	礼儀|正しい	礼儀|正しい:22 礼儀正しい:8	test=2,train=27,val=1
ごらんなさい	29	8	ごらんなさい	ごらんなさい:21 ごらん|なさい:8	train=28,val=1
約66人	25	8	約|66人	約|66人:17 約66人:8	train=25
あるようだ	24	8	あるようだ	あるようだ:16 ある|よう|だ:8	train=23,val=1
入院中	23	8	入院|中	入院|中:15 入院中:8	train=23
動くな	21	8	動くな	動くな:13 動く|な:8	train=21
約34人	21	8	約|34人	約|34人:13 約34人:8	train=21
馬鹿だ	21	8	馬鹿|だ	馬鹿|だ:13 馬鹿だ:8	train=21
約26人	19	8	約26人	約26人:11 約|26人:8	train=19
約41人	19	8	約|41人	約|41人:11 約41人:8	train=19
約4人	19	8	約|4人	約|4人:11 約4人:8	train=19
約58人	19	8	約58人	約58人:11 約|58人:8	train=19
約33人	18	8	約|33人	約|33人:10 約33人:8	train=18
あるがまま	17	8	ある|が|まま	ある|が|まま:9 ある|がまま:5 あるがまま:3	train=17
第85章	17	8	第85章	第85章:9 第|85|章:8	train=17
約38人	17	8	約38人	約38人:9 約|38人:8	train=17
約42人	17	8	約|42人	約|42人:9 約42人:8	train=17
約48人	17	8	約48人	約48人:9 約|48人:8	train=17
幾つか	16	8	幾つか	幾つか:8 幾つ|か:8	train=16
して	10476	7	して	して:10469 し|て:7	test=68,train=10346,val=62
かな	722	7	か|な	か|な:715 かな:7	test=8,train=709,val=5
もない	439	7	も|ない	も|ない:432 もない:7	test=4,train=434,val=1
もし	349	7	もし	もし:342 も|し:7	test=6,train=342,val=1
間に	272	7	間|に	間|に:265 間に:7	test=1,train=271
すでに	131	7	すでに	すでに:124 すで|に:7	test=1,train=129,val=1
せいで	118	7	せい|で	せい|で:111 せいで:7	test=1,train=115,val=2
となった	118	7	と|なった	と|なった:111 となった:7	test=1,train=117
関して	106	7	関して	関して:99 関|して:7	test=2,train=104
はいけません	101	7	は|いけません	は|いけません:94 はいけません:7	test=2,train=98,val=1
最高の	73	7	最高|の	最高|の:66 最高の:7	train=71,val=2
のって	70	7	の|って	の|って:63 のって:7	train=68,val=2
間に合った	63	7	間に合った	間に合った:56 間|に|合った:4 間に|合った:2 間|に合った:1	test=1,train=62
忘れてた	54	7	忘れてた	忘れてた:47 忘れて|た:7	train=52,val=2
注意深く	53	7	注意深く	注意深く:46 注意|深く:7	train=52,val=1
けれども	49	7	けれども	けれども:42 けれど|も:6 けれ|ども:1	train=49
無駄だった	46	7	無駄だった	無駄だった:39 無駄|だった:7	test=2,train=44
思いついた	44	7	思いついた	思いついた:37 思い|ついた:7	train=44
どれだけ	43	7	どれ|だけ	どれ|だけ:36 どれだけ:7	train=43
はやって	42	7	は|やって	は|やって:35 はやって:7	train=41,val=1
逃げ出した	40	7	逃げ出した	逃げ出した:33 逃げ|出した:7	train=40
賛成だ	37	7	賛成|だ	賛成|だ:30 賛成だ:7	train=37
自動車事故	34	7	自動車|事故	自動車|事故:27 自動車事故:7	test=1,train=33
はいられなかった	29	7	は|いられなかった	は|いられなかった:22 はいられなかった:4 は|い|られなかった:3	train=29
午前9時	28	7	午前9時	午前9時:21 午前|9時:7	train=28
叔父さん	28	7	叔父さん	叔父さん:21 叔父|さん:7	test=1,train=26,val=1
存在する	28	7	存在|する	存在|する:21 存在する:7	train=28
あっと	27	7	あっ|と	あっ|と:20 あっと:7	train=27
お元気です	26	7	お元気です	お元気です:19 お元気|です:6 お|元気です:1	test=1,train=24,val=1
3.5km	25	7	3.5|km	3.5|km:18 3.5km:7	train=25
約8人	25	7	約8人	約8人:18 約|8人:7	train=25
となり	23	7	と|なり	と|なり:16 となり:7	train=23
興味深い	23	7	興味深い	興味深い:16 興味|深い:7	train=23
魅力的	22	7	魅力的	魅力的:15 魅力|的:7	train=21,val=1
ってば	21	7	って|ば	って|ば:14 ってば:7	train=21
反対で	21	7	反対|で	反対|で:14 反対で:7	train=21
約6人	21	7	約|6人	約|6人:14 約6人:7	train=21
世界一周	20	7	世界|一周	世界|一周:13 世界一周:7	test=1,train=19
約46人	20	7	約46人	約46人:13 約|46人:7	train=20
約56人	20	7	約|56人	約|56人:13 約56人:7	train=20
約3人	19	7	約|3人	約|3人:12 約3人:7	train=19
約81人	19	7	約81人	約81人:12 約|81人:7	train=19
クリスマスプレゼント	18	7	クリスマス|プレゼント	クリスマス|プレゼント:11 クリスマスプレゼント:7	train=18
第20章	18	7	第|20|章	第|20|章:11 第20章:7	train=18
あ～っ	17	7	あ|～|っ	あ|～|っ:10 あ～っ:6 あ|～っ:1	train=16,val=1
世界大戦	16	7	世界|大戦	世界|大戦:9 世界大戦:7	train=16
我が社	16	7	我が|社	我が|社:9 我が社:7	train=16
泣き続けた	16	7	泣き続けた	泣き続けた:9 泣き|続けた:7	train=16
約15人	16	7	約15人	約15人:9 約|15人:7	train=16
かして	15	7	か|して	か|して:8 かして:7	train=15
やむなく	15	7	やむなく	やむなく:8 やむ|なく:7	train=15
体中	15	7	体|中	体|中:8 体中:7	train=15
約22人	15	7	約|22人	約|22人:8 約22人:7	train=15
そうそう	14	7	そう|そう	そう|そう:7 そうそう:7	train=14
なんじゃ	13	7	な|ん|じゃ	な|ん|じゃ:6 なん|じゃ:5 なんじゃ:2	train=13
お知らせ下さい	12	7	お知らせ下さい	お知らせ下さい:5 お知らせ|下さい:5 お|知らせ下さい:2	train=12
お立ち寄りください	12	7	お立ち寄りください	お立ち寄りください:5 お|立ち寄りください:4 お立ち寄り|ください:3	train=12
なんだい	12	7	な|ん|だい	な|ん|だい:5 なん|だ|い:3 なんだい:2 な|ん|だ|い:1 なん|だい:1	train=12
してる	922	6	してる	してる:916 して|る:6	test=8,train=906,val=8
なんて	771	6	なんて	なんて:765 なん|て:3 な|ん|て:2 な|んて:1	test=8,train=759,val=4
いるよう	181	6	いる|よう	いる|よう:175 いるよう:6	test=4,train=176,val=1
はい	163	6	はい	はい:157 は|い:6	train=161,val=2
といけない	156	6	と|いけない	と|いけない:150 といけない:6	train=155,val=1
完全に	139	6	完全|に	完全|に:133 完全に:6	train=139
お会い	94	6	お会い	お会い:88 お|会い:6	train=93,val=1
何とか	87	6	何とか	何とか:81 何|とか:5 何|と|か:1	train=86,val=1
！！	73	6	！|！	！|！:67 ！！:6	train=73
話し合った	44	6	話し合った	話し合った:38 話し|合った:6	train=43,val=1
降り出した	41	6	降り出した	降り出した:35 降り|出した:6	train=41
それほど	35	6	それ|ほど	それ|ほど:29 それほど:6	train=35
留守中	35	6	留守|中	留守|中:29 留守中:6	train=35
滅多に	34	6	滅多|に	滅多|に:28 滅多に:6	train=34
飛び出した	29	6	飛び出した	飛び出した:23 飛び|出した:6	train=29
言ったろ	28	6	言ったろ	言ったろ:22 言った|ろ:6	train=28
叔母さん	27	6	叔母さん	叔母さん:21 叔母|さん:6	test=1,train=26
なっても	26	6	なって|も	なって|も:20 なっても:6	train=25,val=1
約69人	26	6	約|69人	約|69人:20 約69人:6	train=26
あるなら	25	6	あるなら	あるなら:19 ある|なら:6	train=25
しっかりと	25	6	しっかり|と	しっかり|と:19 しっかりと:6	train=25
ちっとも	25	6	ちっと|も	ちっと|も:19 ちっとも:6	train=25
はなくて	25	6	は|なくて	は|なくて:19 はなくて:5 は|なく|て:1	train=25
がまま	24	6	が|まま	が|まま:18 がまま:6	train=24
よくなって	24	6	よく|なって	よく|なって:18 よくなって:6	train=24
反対です	24	6	反対|です	反対|です:18 反対です:6	train=24
なぜなら	23	6	なぜ|なら	なぜ|なら:17 なぜなら:6	train=23
約75人	23	6	約|75人	約|75人:17 約75人:6	train=23
はあっ	22	6	は|あっ	は|あっ:16 はあっ:6	train=22
誠実さ	21	6	誠実さ	誠実さ:15 誠実|さ:6	train=21
約2人	20	6	約|2人	約|2人:14 約2人:6	train=20
約30人	20	6	約|30人	約|30人:14 約30人:6	train=20
約76人	20	6	約|76人	約|76人:14 約76人:6	train=20
おまけに	19	6	おまけ|に	おまけ|に:13 おまけに:6	train=18,val=1
としてる	19	6	と|してる	と|してる:13 としてる:4 と|して|る:2	train=19
バカ野郎	19	6	バカ|野郎	バカ|野郎:13 バカ野郎:6	train=19
良くなった	19	6	良く|なった	良く|なった:13 良くなった:6	train=19
野生動物	19	6	野生|動物	野生|動物:13 野生動物:6	train=19
たどり着いた	18	6	たどり着いた	たどり着いた:12 たどり|着いた:6	train=18
約20人	18	6	約20人	約20人:12 約|20人:6	train=18
約99人	18	6	約|99人	約|99人:12 約99人:6	train=18
かっと	17	6	かっ|と	かっ|と:11 かっと:6	test=1,train=16
テレビ番組	17	6	テレビ|番組	テレビ|番組:11 テレビ番組:6	train=17
第82章	17	6	第|82|章	第|82|章:11 第82章:6	train=17
約67人	17	6	約|67人	約|67人:11 約67人:6	train=17
約9人	17	6	約9人	約9人:11 約|9人:6	train=17
ああいう	16	6	ああ|いう	ああ|いう:10 ああいう:6	train=16
オレンジジュース	16	6	オレンジジュース	オレンジジュース:10 オレンジ|ジュース:6	train=16
日本料理	16	6	日本料理	日本料理:10 日本|料理:6	train=16
生まれ育った	16	6	生まれ育った	生まれ育った:10 生まれ|育った:6	train=16
約49人	16	6	約49人	約49人:10 約|49人:6	train=16
約68人	16	6	約|68人	約|68人:10 約68人:6	train=16
約80人	16	6	約80人	約80人:10 約|80人:6	train=16
約88人	16	6	約88人	約88人:10 約|88人:6	train=16
うんざりだ	15	6	うんざりだ	うんざりだ:9 うんざり|だ:6	train=15
反対側	15	6	反対側	反対側:9 反対|側:6	train=15
我が国	15	6	我が|国	我が|国:9 我が国:6	train=15
約29人	15	6	約29人	約29人:9 約|29人:6	train=15
約32人	15	6	約32人	約32人:9 約|32人:6	train=15
約51人	15	6	約|51人	約|51人:9 約51人:6	train=15
話し中	15	6	話し|中	話し|中:9 話し中:6	train=14,val=1
ほんとうに	14	6	ほんとう|に	ほんとう|に:8 ほんとうに:6	train=14
学生さん	14	6	学生さん	学生さん:8 学生|さん:6	train=14
第75章	14	6	第75章	第75章:8 第|75|章:6	train=14
第88章	14	6	第88章	第88章:8 第|88|章:6	train=14
仕方ない	13	6	仕方ない	仕方ない:7 仕方|ない:6	train=13
多かれ少なかれ	13	6	多かれ少なかれ	多かれ少なかれ:7 多かれ|少なかれ:6	train=13
愛した	13	6	愛した	愛した:7 愛|した:6	train=13
約5人	13	6	約5人	約5人:7 約|5人:6	train=13
試験勉強	13	6	試験勉強	試験勉強:7 試験|勉強:6	train=13
かした	12	6	か|した	か|した:6 かした:6	train=12
でなくて	12	6	で|なくて	で|なくて:6 でなくて:6	train=12
夢中で	12	6	夢中で	夢中で:6 夢中|で:6	train=12
第15章	12	6	第15章	第15章:6 第|15|章:6	train=12
なんとも	10	6	なんとも	なんとも:4 なん|と|も:4 なん|とも:1 なんと|も:1	train=10
よって	393	5	よって	よって:388 よ|って:5	test=6,train=385,val=2
を買った	322	5	を|買った	を|買った:317 を買った:5	test=4,train=317,val=1
必要だ	220	5	必要だ	必要だ:215 必要|だ:5	train=219,val=1
かね	205	5	か|ね	か|ね:200 かね:5	test=1,train=204
なに	123	5	なに	なに:118 な|に:5	train=123
まさに	120	5	まさに	まさに:115 まさ|に:5	train=119,val=1
皆さん	102	5	皆さん	皆さん:97 皆|さん:5	train=102
は限らない	99	5	は|限らない	は|限らない:94 は限らない:5	train=99
はね	72	5	は|ね	は|ね:67 はね:5	train=72
してます	70	5	してます	してます:65 して|ます:5	train=70
