# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
弄出	4	2	弄|出	弄|出:2 弄出:2	train=4
当兵	4	2	当|兵	当|兵:2 当兵:2	train=4
想家	4	2	想|家	想|家:2 想家:2	train=3,val=1
打错	4	2	打|错	打|错:2 打错:2	train=4
抓贼	4	2	抓贼	抓贼:2 抓|贼:2	train=4
挡道	4	2	挡|道	挡|道:2 挡道:2	train=4
提奥叔叔	4	2	提奥|叔叔	提奥|叔叔:2 提奥叔叔:2	train=4
搞到	4	2	搞到	搞到:2 搞|到:2	train=4
搬来	4	2	搬来	搬来:2 搬|来:2	train=4
有一腿	4	2	有|一腿	有|一腿:2 有|一|腿:1 有一腿:1	train=4
死前	4	2	死前	死前:2 死|前:2	train=4
火烧	4	2	火|烧	火|烧:2 火烧:2	train=4
碍事	4	2	碍事	碍事:2 碍|事:2	train=4
缺钱	4	2	缺|钱	缺|钱:2 缺钱:2	test=1,train=3
花钱	4	2	花|钱	花|钱:2 花钱:2	train=4
苏贝兰人	4	2	苏贝兰|人	苏贝兰|人:2 苏贝兰人:2	train=4
虎威战士	4	2	虎威战士	虎威战士:2 虎威|战士:2	train=4
补充道	4	2	补充|道	补充|道:2 补充道:2	train=4
该不会	4	2	该不会	该不会:2 该|不会:1 该|不|会:1	train=4
跑龙套	4	2	跑|龙套	跑|龙套:2 跑龙套:2	train=4
进屋	4	2	进屋	进屋:2 进|屋:2	train=4
锅炉爷爷	4	2	锅炉|爷爷	锅炉|爷爷:2 锅炉爷爷:2	train=4
闻起来	4	2	闻起来	闻起来:2 闻|起来:2	train=4
靠墙	4	2	靠墙	靠墙:2 靠|墙:2	train=4
多年来	3	2	多年来	多年来:1 多年|来:1 多|年|来:1	train=3
带回来	3	2	带回来	带回来:1 带|回来:1 带回|来:1	train=3
怎么	2208	1	怎么	怎么:2207 怎|么:1	test=29,train=2155,val=24
干嘛	442	1	干嘛	干嘛:441 干|嘛:1	test=3,train=435,val=4
东西	440	1	东西	东西:439 东|西:1	test=4,train=428,val=8
干什么	395	1	干|什么	干|什么:394 干什么:1	test=4,train=386,val=5
怎么样	394	1	怎么样	怎么样:393 怎么|样:1	test=3,train=385,val=6
一起	336	1	一起	一起:335 一|起:1	test=2,train=329,val=5
来的	186	1	来|的	来|的:185 来的:1	train=184,val=2
快点	178	1	快点	快点:177 快|点:1	test=2,train=172,val=4
看见	159	1	看见	看见:158 看|见:1	train=157,val=2
回家	158	1	回家	回家:157 回|家:1	test=2,train=155,val=1
你看	144	1	你|看	你|看:143 你看:1	train=143,val=1
什么意思	130	1	什么|意思	什么|意思:129 什么意思:1	test=1,train=127,val=2
是说	121	1	是|说	是|说:120 是说:1	test=1,train=120
很好	116	1	很|好	很|好:115 很好:1	train=114,val=2
的时候	113	1	的|时候	的|时候:112 的时候:1	train=113
见过	107	1	见|过	见|过:106 见过:1	test=1,train=105,val=1
该死	107	1	该死	该死:106 该|死:1	test=2,train=105
不错	101	1	不错	不错:100 不|错:1	test=1,train=98,val=2
是否	91	1	是否	是否:90 是|否:1	test=1,train=89,val=1
把它	82	1	把|它	把|它:81 把它:1	train=82
总是	79	1	总是	总是:78 总|是:1	test=2,train=77
到了	78	1	到|了	到|了:77 到了:1	test=1,train=76,val=1
这样的	78	1	这样|的	这样|的:77 这样的:1	test=2,train=75,val=1
不懂	75	1	不|懂	不|懂:74 不懂:1	train=75
听说	72	1	听说	听说:71 听|说:1	test=1,train=69,val=2
开玩笑	70	1	开玩笑	开玩笑:69 开|玩笑:1	train=70
再见	68	1	再见	再见:67 再|见:1	train=67,val=1
吃饭	67	1	吃饭	吃饭:66 吃|饭:1	test=1,train=64,val=2
对不对	63	1	对|不|对	对|不|对:62 对不对:1	train=62,val=1
过了	62	1	过|了	过|了:61 过了:1	test=3,train=59
这么说	59	1	这么|说	这么|说:58 这么说:1	train=58,val=1
有点	57	1	有点	有点:56 有|点:1	train=56,val=1
什么样	51	1	什么样	什么样:50 什么|样:1	train=51
多了	51	1	多|了	多|了:50 多了:1	train=51
别动	46	1	别|动	别|动:45 别动:1	train=45,val=1
其他人	44	1	其他|人	其他|人:43 其他人:1	test=1,train=43
开车	44	1	开车	开车:43 开|车:1	test=4,train=39,val=1
来说	44	1	来说	来说:43 来|说:1	test=2,train=42
那么多	43	1	那么|多	那么|多:42 那么多:1	train=42,val=1
开门	42	1	开门	开门:41 开|门:1	train=42
人类	41	1	人类	人类:40 人|类:1	train=41
吃了	40	1	吃|了	吃|了:39 吃了:1	train=40
家人	39	1	家人	家人:38 家|人:1	test=1,train=38
每个	39	1	每|个	每|个:38 每个:1	train=38,val=1
见鬼	37	1	见鬼	见鬼:36 见|鬼:1	train=37
听我说	36	1	听|我|说	听|我|说:35 听我说:1	train=36
有趣	36	1	有趣	有趣:35 有|趣:1	train=35,val=1
也有	34	1	也|有	也|有:33 也有:1	test=1,train=32,val=1
见面	34	1	见面	见面:33 见|面:1	train=34
一会儿	33	1	一会儿	一会儿:32 一|会儿:1	train=32,val=1
就要	32	1	就|要	就|要:31 就要:1	test=1,train=30,val=1
三个	30	1	三|个	三|个:29 三个:1	train=30
停车	28	1	停车	停车:27 停|车:1	test=1,train=25,val=2
我自己	28	1	我|自己	我|自己:27 我自己:1	train=28
一件	27	1	一|件	一|件:26 一件:1	train=27
女孩子	27	1	女孩子	女孩子:26 女|孩子:1	train=27
不信	26	1	不|信	不|信:25 不信:1	train=25,val=1
又怎样	25	1	又|怎样	又|怎样:24 又怎样:1	train=25
打架	25	1	打架	打架:24 打|架:1	train=23,val=2
不该	24	1	不|该	不|该:23 不该:1	train=24
付钱	24	1	付钱	付钱:23 付|钱:1	test=1,train=23
伟同	24	1	伟同	伟同:23 伟|同:1	train=24
很有	23	1	很|有	很|有:22 很有:1	train=22,val=1
本书	23	1	本|书	本|书:22 本书:1	train=23
我的天	22	1	我|的|天	我|的|天:21 我的天:1	train=22
老是	22	1	老是	老是:21 老|是:1	test=1,train=21
一段	21	1	一|段	一|段:20 一段:1	train=21
就行	21	1	就|行	就|行:20 就行:1	test=1,train=19,val=1
站起来	21	1	站|起来	站|起来:20 站起来:1	test=1,train=20
一口	20	1	一|口	一|口:19 一口:1	train=20
城里	19	1	城里	城里:18 城|里:1	train=19
好点	19	1	好点	好点:18 好|点:1	train=19
很大	19	1	很|大	很|大:18 很大:1	train=18,val=1
或是	19	1	或|是	或|是:18 或是:1	train=19
找个	19	1	找|个	找|个:18 找个:1	train=19
放手	19	1	放手	放手:18 放|手:1	train=19
说完	19	1	说完	说完:18 说|完:1	test=1,train=17,val=1
不住	18	1	不|住	不|住:17 不住:1	train=16,val=2
似的	18	1	似的	似的:17 似|的:1	train=18
闻到	18	1	闻到	闻到:17 闻|到:1	test=1,train=17
千万	17	1	千万	千万:16 千|万:1	train=17
新来	17	1	新来	新来:16 新|来:1	train=17
没了	17	1	没|了	没|了:16 没了:1	train=16,val=1
没法	17	1	没法	没法:16 没|法:1	train=17
滚蛋	17	1	滚蛋	滚蛋:16 滚|蛋:1	test=1,train=16
不好意思	16	1	不好意思	不好意思:15 不|好意思:1	test=1,train=15
块钱	16	1	块钱	块钱:15 块|钱:1	train=16
好极了	16	1	好极了	好极了:15 好|极|了:1	train=16
当成	16	1	当成	当成:15 当|成:1	train=16
老太太	16	1	老太太	老太太:15 老|太太:1	train=16
饿死	16	1	饿死	饿死:15 饿|死:1	train=16
不少	15	1	不少	不少:14 不|少:1	test=1,train=14
不开	15	1	不|开	不|开:14 不开:1	train=15
做好	15	1	做好	做好:14 做|好:1	test=1,train=14
写信	15	1	写信	写信:14 写|信:1	train=15
小鸟	15	1	小鸟	小鸟:14 小|鸟:1	train=14,val=1
带到	15	1	带|到	带|到:14 带到:1	train=15
拿来	15	1	拿来	拿来:14 拿|来:1	train=15
掉下来	15	1	掉|下来	掉|下来:14 掉下来:1	train=15
演戏	15	1	演戏	演戏:14 演|戏:1	train=15
烂人	15	1	烂人	烂人:14 烂|人:1	train=15
玩笑	15	1	玩笑	玩笑:14 玩|笑:1	train=15
一声	14	1	一|声	一|声:13 一声:1	train=14
一套	14	1	一|套	一|套:13 一套:1	train=14
不在乎	14	1	不|在乎	不|在乎:13 不在乎:1	train=14
只会	14	1	只|会	只|会:13 只会:1	train=14
好事	14	1	好事	好事:13 好|事:1	test=1,train=13
找人	14	1	找|人	找|人:13 找人:1	train=14
放屁	14	1	放屁	放屁:13 放|屁:1	train=14
老头	14	1	老头	老头:13 老|头:1	train=14
跑去	14	1	跑|去	跑|去:13 跑去:1	train=13,val=1
看医生	13	1	看|医生	看|医生:12 看医生:1	train=13
要点	13	1	要|点	要|点:12 要点:1	train=13
你俩	12	1	你俩	你俩:11 你|俩:1	train=12
到现在	12	1	到|现在	到|现在:11 到现在:1	test=1,train=11
天才	12	1	天才	天才:11 天|才:1	train=12
好人	12	1	好人	好人:11 好|人:1	train=12
年前	12	1	年前	年前:11 年|前:1	train=11,val=1
怎样的	12	1	怎样|的	怎样|的:11 怎样的:1	train=10,val=2
杯茶	12	1	杯|茶	杯|茶:11 杯茶:1	train=12
不对劲	11	1	不对劲	不对劲:10 不|对劲:1	train=11
不问	11	1	不|问	不|问:10 不问:1	train=11
两次	11	1	两|次	两|次:10 两次:1	train=11
从哪	11	1	从|哪	从|哪:10 从哪:1	train=11
听不见	11	1	听|不|见	听|不|见:10 听不见:1	train=11
小姑娘	11	1	小姑娘	小姑娘:10 小|姑娘:1	train=11
往前	11	1	往前	往前:10 往|前:1	train=11
村子里	11	1	村子|里	村子|里:10 村子里:1	test=1,train=9,val=1
活下去	11	1	活下去	活下去:10 活|下去:1	train=11
看上去	11	1	看上去	看上去:10 看|上去:1	train=11
要石	11	1	要石	要石:10 要|石:1	train=11
走到	11	1	走|到	走|到:10 走到:1	train=11
车里	11	1	车|里	车|里:10 车里:1	train=11
这话	11	1	这|话	这|话:10 这话:1	train=11
一片	10	1	一|片	一|片:9 一片:1	train=10
一路	10	1	一路	一路:9 一|路:1	train=10
一顿	10	1	一|顿	一|顿:9 一顿:1	train=10
不公平	10	1	不|公平	不|公平:9 不公平:1	train=10
不存在	10	1	不|存在	不|存在:9 不存在:1	train=10
什麽时候	10	1	什麽|时候	什麽|时候:9 什麽时候:1	train=10
伙计们	10	1	伙计们	伙计们:9 伙计|们:1	train=10
做出	10	1	做出	做出:9 做|出:1	train=9,val=1
在场	10	1	在场	在场:9 在|场:1	train=10
好东西	10	1	好|东西	好|东西:9 好东西:1	train=9,val=1
小事	10	1	小事	小事:9 小|事:1	train=10
待会	10	1	待会	待会:9 待|会:1	train=10
我们俩	10	1	我们俩	我们俩:9 我们|俩:1	train=10
挂在	10	1	挂|在	挂|在:9 挂在:1	train=10
敲门	10	1	敲门	敲门:9 敲|门:1	train=10
而言	10	1	而言	而言:9 而|言:1	train=10
自己人	10	1	自己人	自己人:9 自己|人:1	train=10
臭小子	10	1	臭小子	臭小子:9 臭|小子:1	train=10
试着	10	1	试着	试着:9 试|着:1	train=10
这套	10	1	这|套	这|套:9 这套:1	train=10
送信	10	1	送信	送信:9 送|信:1	train=10
问好	10	1	问好	问好:9 问|好:1	train=10
飞了	10	1	飞|了	飞|了:9 飞了:1	train=10
一开始	9	1	一开始	一开始:8 一|开始:1	train=9
不理	9	1	不|理	不|理:8 不理:1	train=9
两人	9	1	两|人	两|人:8 两人:1	train=9
他家	9	1	他|家	他|家:8 他家:1	train=9
口水	9	1	口水	口水:8 口|水:1	train=9
啥事	9	1	啥|事	啥|事:8 啥事:1	train=9
啥意思	9	1	啥|意思	啥|意思:8 啥意思:1	train=9
好一点	9	1	好|一点	好|一点:8 好一点:1	train=9
拿开	9	1	拿开	拿开:8 拿|开:1	train=9
真是的	9	1	真|是|的	真|是|的:8 真是的:1	train=9
绝不	9	1	绝不	绝不:8 绝|不:1	train=9
饶了	9	1	饶|了	饶|了:8 饶了:1	train=9
乱来	8	1	乱来	乱来:7 乱|来:1	test=1,train=7
从头	8	1	从头	从头:7 从|头:1	test=1,train=7
你妹	8	1	你妹	你妹:7 你|妹:1	train=8
右转	8	1	右转	右转:7 右|转:1	train=8
好久不见	8	1	好久不见	好久不见:7 好久|不见:1	train=8
对此	8	1	对|此	对|此:7 对此:1	train=8
快点儿	8	1	快点儿	快点儿:7 快|点儿:1	train=8
想起来	8	1	想起来	想起来:7 想|起来:1	train=8
烦死	8	1	烦|死	烦|死:7 烦死:1	train=8
美国佬	8	1	美国佬	美国佬:7 美国|佬:1	train=8
被捕	8	1	被|捕	被|捕:7 被捕:1	test=1,train=7
踩到	8	1	踩|到	踩|到:7 踩到:1	train=7,val=1
这玩意	8	1	这|玩意	这|玩意:7 这玩意:1	train=8
一整天	7	1	一|整天	一|整天:6 一整天:1	train=7
一百	7	1	一百	一百:6 一|百:1	train=7
不仅仅	7	1	不仅仅	不仅仅:6 不|仅仅:1	train=7
不开心	7	1	不|开心	不|开心:6 不开心:1	train=7
不得了	7	1	不得了	不得了:6 不|得|了:1	train=7
不顾	7	1	不顾	不顾:6 不|顾:1	train=7
几号	7	1	几号	几号:6 几|号:1	train=6,val=1
啥的	7	1	啥|的	啥|的:6 啥的:1	test=1,train=6
圣诞老人	7	1	圣诞老人	圣诞老人:6 圣诞|老人:1	train=7
大家好	7	1	大家好	大家好:6 大家|好:1	train=7
好玩的	7	1	好玩|的	好玩|的:6 好玩的:1	train=7
对呀	7	1	对呀	对呀:6 对|呀:1	train=7
对白	7	1	对白	对白:6 对|白:1	train=7
弄来	7	1	弄|来	弄|来:6 弄来:1	train=7
弹琴	7	1	弹琴	弹琴:6 弹|琴:1	train=7
情况下	7	1	情况|下	情况|下:6 情况下:1	train=7
手中	7	1	手中	手中:6 手|中:1	train=7
找着	7	1	找着	找着:6 找|着:1	test=1,train=6
有所	7	1	有所	有所:6 有|所:1	train=7
梦中	7	1	梦|中	梦|中:6 梦中:1	train=7
梦里	7	1	梦|里	梦|里:6 梦里:1	train=7
此事	7	1	此事	此事:6 此|事:1	train=7
每周	7	1	每|周	每|周:6 每周:1	train=7
没有任何	7	1	没有|任何	没有|任何:6 没有任何:1	train=7
然而	7	1	然而	然而:6 然|而:1	train=7
短裤	7	1	短裤	短裤:6 短|裤:1	train=7
红的	7	1	红|的	红|的:6 红的:1	train=7
请来	7	1	请|来	请|来:6 请来:1	train=7
雅中	7	1	雅中	雅中:6 雅|中:1	train=7
一看	6	1	一看	一看:5 一|看:1	train=6
下一步	6	1	下一步	下一步:5 下|一|步:1	train=6
下船	6	1	下船	下船:5 下|船:1	train=6
不回	6	1	不|回	不|回:5 不回:1	train=6
不急	6	1	不|急	不|急:5 不急:1	train=6
不等	6	1	不|等	不|等:5 不等:1	train=6
做人	6	1	做人	做人:5 做|人:1	train=6
写字	6	1	写字	写字:5 写|字:1	train=6
几楼	6	1	几|楼	几|楼:5 几楼:1	train=6
几点钟	6	1	几点钟	几点钟:5 几|点钟:1	test=1,train=4,val=1
到死	6	1	到|死	到|死:5 到死:1	train=6
可好	6	1	可|好	可|好:5 可好:1	train=6
嘴里	6	1	嘴|里	嘴|里:5 嘴里:1	train=6
她家	6	1	她|家	她|家:5 她家:1	train=5,val=1
成不成	6	1	成|不|成	成|不|成:5 成不成:1	train=6
打到	6	1	打|到	打|到:5 打到:1	train=6
打赢	6	1	打赢	打赢:5 打|赢:1	train=6
拿回	6	1	拿回	拿回:5 拿|回:1	train=6
撞死	6	1	撞死	撞死:5 撞|死:1	train=6
敬三	6	1	敬三	敬三:5 敬|三:1	train=6
斧头帮	6	1	斧头|帮	斧头|帮:5 斧头帮:1	train=6
有道理	6	1	有|道理	有|道理:5 有道理:1	train=6
来来	6	1	来来	来来:5 来|来:1	train=6
没完	6	1	没|完	没|完:5 没完:1	train=6
没有用	6	1	没有|用	没有|用:5 没有用:1	train=6
洗碗	6	1	洗碗	洗碗:5 洗|碗:1	train=6
活下来	6	1	活下来	活下来:5 活|下来:1	train=6
炸酱乌龙面	6	1	炸酱|乌龙面	炸酱|乌龙面:5 炸酱乌龙面:1	train=6
爱吃	6	1	爱|吃	爱|吃:5 爱吃:1	train=6
留美	6	1	留美	留美:5 留|美:1	train=6
皮聘	6	1	皮聘	皮聘:5 皮|聘:1	train=5,val=1
练武	6	1	练|武	练|武:5 练武:1	train=6
老家伙	6	1	老家伙	老家伙:5 老|家伙:1	train=6
说来	6	1	说来	说来:5 说|来:1	train=6
贵重	6	1	贵重	贵重:5 贵|重:1	train=6
送来	6	1	送来	送来:5 送|来:1	train=6
那吗	6	1	那|吗	那|吗:5 那吗:1	train=6
那帮	6	1	那|帮	那|帮:5 那帮:1	train=6
阿根廷人	6	1	阿根廷人	阿根廷人:5 阿根廷|人:1	train=6
难看	6	1	难看	难看:5 难|看:1	train=6
一万	5	1	一万	一万:4 一|万:1	train=5
上船	5	1	上船	上船:4 上|船:1	train=5
不值	5	1	不|值	不|值:4 不值:1	train=5
不妥	5	1	不妥	不妥:4 不|妥:1	train=4,val=1
不满意	5	1	不|满意	不|满意:4 不满意:1	train=5
两下	5	1	两|下	两|下:4 两下:1	train=5
两手	5	1	两|手	两|手:4 两手:1	train=5
为人	5	1	为人	为人:4 为|人:1	train=5
举起来	5	1	举|起来	举|起来:4 举起来:1	train=5
修好	5	1	修好	修好:4 修|好:1	train=5
关灯	5	1	关灯	关灯:4 关|灯:1	train=5
刮胡子	5	1	刮|胡子	刮|胡子:4 刮胡子:1	train=5
加上	5	1	加上	加上:4 加|上:1	train=5
卡车水	5	1	卡车|水	卡车|水:4 卡车水:1	train=5
可乐饼	5	1	可乐饼	可乐饼:4 可乐|饼:1	test=1,train=4
吃喝	5	1	吃喝	吃喝:4 吃|喝:1	train=5
吓人	5	1	吓人	吓人:4 吓|人:1	train=5
听著	5	1	听著	听著:4 听|著:1	train=5
啥时	5	1	啥时	啥时:4 啥|时:1	train=5
大个	5	1	大|个	大|个:4 大个:1	train=5
好不好玩	5	1	好不好玩	好不好玩:4 好|不|好玩:1	train=5
好想	5	1	好|想	好|想:4 好想:1	train=5
好话	5	1	好话	好话:4 好|话:1	train=5
家里人	5	1	家里人	家里人:4 家里|人:1	train=5
小男孩	5	1	小男孩	小男孩:4 小|男孩:1	train=4,val=1
带回	5	1	带回	带回:4 带|回:1	train=5
弄丢	5	1	弄丢	弄丢:4 弄|丢:1	train=5
总该	5	1	总|该	总|该:4 总该:1	train=5
打完	5	1	打|完	打|完:4 打完:1	train=5
打成	5	1	打|成	打|成:4 打成:1	train=5
打手	5	1	打手	打手:4 打|手:1	train=4,val=1
扔进	5	1	扔|进	扔|进:4 扔进:1	train=5
拔剑	5	1	拔剑	拔剑:4 拔|剑:1	train=5
拿点	5	1	拿|点	拿|点:4 拿点:1	train=5
挪开	5	1	挪开	挪开:4 挪|开:1	train=5
放人	5	1	放|人	放|人:4 放人:1	train=5
无人	5	1	无|人	无|人:4 无人:1	train=5
村里	5	1	村里	村里:4 村|里:1	train=5
某一	5	1	某|一	某|一:4 某一:1	train=5
某个	5	1	某个	某个:4 某|个:1	train=5
武馆街	5	1	武馆街	武馆街:4 武馆|街:1	train=5
每年	5	1	每|年	每|年:4 每年:1	train=5
没门	5	1	没门	没门:4 没|门:1	train=5
清了清	5	1	清了清	清了清:4 清|了|清:1	train=5
熟睡时分	5	1	熟睡|时分	熟睡|时分:4 熟睡时分:1	train=5
狗杂种	5	1	狗杂种	狗杂种:4 狗|杂种:1	train=5
电视节目	5	1	电视节目	电视节目:4 电视|节目:1	train=5
百年	5	1	百年	百年:4 百|年:1	train=5
祢豆子	5	1	祢|豆子	祢|豆子:4 祢豆子:1	train=5
第六感	5	1	第六感	第六感:4 第六|感:1	train=5
菊仙姑娘	5	1	菊仙|姑娘	菊仙|姑娘:4 菊仙姑娘:1	train=5
谁家	5	1	谁家	谁家:4 谁|家:1	train=5
走人	5	1	走人	走人:4 走|人:1	train=5
一国	4	1	一|国	一|国:3 一国:1	train=4
一番	4	1	一番	一番:3 一|番:1	train=4
一等	4	1	一等	一等:3 一|等:1	train=4
一言不发	4	1	一言不发	一言不发:3 一|言|不|发:1	train=4
上架	4	1	上架	上架:3 上|架:1	train=4
下礼拜	4	1	下礼拜	下礼拜:3 下|礼拜:1	train=4
不一定	4	1	不|一定	不|一定:3 不一定:1	train=4
不利	4	1	不|利	不|利:3 不利:1	train=4
不变	4	1	不变	不变:3 不|变:1	train=4
不合	4	1	不|合	不|合:3 不合:1	train=4
不好玩	4	1	不|好玩	不|好玩:3 不好玩:1	train=4
不客气	4	1	不客气	不客气:3 不|客气:1	test=1,train=3
不愿	4	1	不|愿	不|愿:3 不愿:1	train=4
不正	4	1	不|正	不|正:3 不正:1	train=4
为所欲为	4	1	为所欲为	为所欲为:3 为|所|欲为:1	train=4
之下	4	1	之下	之下:3 之|下:1	train=4
买不起	4	1	买|不起	买|不起:3 买不起:1	train=4
乱跑	4	1	乱|跑	乱|跑:3 乱跑:1	test=1,train=3
五百	4	1	五百	五百:3 五|百:1	train=4
交到	4	1	交|到	交|到:3 交到:1	train=4
人和	4	1	人|和	人|和:3 人和:1	test=1,train=3
住换	4	1	住换	住换:3 住|换:1	train=3,val=1
佩雷杜里人	4	1	佩雷杜里人	佩雷杜里人:3 佩雷杜里|人:1	train=4
偷来	4	1	偷|来	偷|来:3 偷来:1	train=3,val=1
六点	4	1	六点	六点:3 六|点:1	test=1,train=3
前来	4	1	前来	前来:3 前|来:1	train=4
发射平台	4	1	发射|平台	发射|平台:3 发射平台:1	train=4
只手	4	1	只|手	只|手:3 只手:1	train=4
吉他	4	1	吉他	吉他:3 吉|他:1	train=4
吉巴良	4	1	吉巴良	吉巴良:3 吉巴|良:1	train=4
哪会	4	1	哪|会	哪|会:3 哪会:1	train=4
哪行	4	1	哪|行	哪|行:3 哪行:1	test=1,train=3
唔到	4	1	唔|到	唔|到:3 唔到:1	train=4
够胆	4	1	够|胆	够|胆:3 够胆:1	train=4
天大	4	1	天大	天大:3 天|大:1	train=4
好几	4	1	好|几	好|几:3 好几:1	train=4
好手	4	1	好手	好手:3 好|手:1	train=4
好样的	4	1	好样的	好样的:3 好样|的:1	train=4
害臊	4	1	害臊	害臊:3 害|臊:1	train=4
寄到	4	1	寄|到	寄|到:3 寄到:1	train=3,val=1
小王子	4	1	小王子	小王子:3 小|王子:1	train=4
尹司机	4	1	尹司机	尹司机:3 尹|司机:1	train=4
屁用	4	1	屁用	屁用:3 屁|用:1	train=4
开开门	4	1	开开|门	开开|门:3 开开门:1	train=4
律师执照	4	1	律师|执照	律师|执照:3 律师执照:1	train=4
想出	4	1	想|出	想|出:3 想出:1	train=4
扯破	4	1	扯破	扯破:3 扯|破:1	train=4
拿给	4	1	拿|给	拿|给:3 拿给:1	train=4
整好	4	1	整好	整好:3 整|好:1	train=4
新和联胜	4	1	新和联胜	新和联胜:3 新|和|联胜:1	train=4
无处不在	4	1	无处不在	无处不在:3 无处|不在:1	train=4
有难	4	1	有|难	有|难:3 有难:1	train=4
本都	4	1	本都	本都:3 本|都:1	test=1,train=3
杀光	4	1	杀光	杀光:3 杀|光:1	train=4
杯酒	4	1	杯|酒	杯|酒:3 杯酒:1	train=4
枵人	4	1	枵|人	枵|人:3 枵人:1	train=4
每晚	4	1	每晚	每晚:3 每|晚:1	train=4
没能	4	1	没|能	没|能:3 没能:1	train=4
河里	4	1	河|里	河|里:3 河里:1	train=3,val=1
活捉	4	1	活捉	活捉:3 活|捉:1	train=4
海上	4	1	海上	海上:3 海|上:1	train=4
混的	4	1	混|的	混|的:3 混的:1	train=4
炸鱼薯条	4	1	炸鱼|薯条	炸鱼|薯条:3 炸鱼薯条:1	train=4
烦了	4	1	烦|了	烦|了:3 烦了:1	train=4
狗养的	4	1	狗|养|的	狗|养|的:3 狗养的:1	train=4
狼心狗肺	4	1	狼心狗肺	狼心狗肺:3 狼心|狗肺:1	train=4
疯女人	4	1	疯|女人	疯|女人:3 疯女人:1	train=4
白狼神	4	1	白狼神	白狼神:3 白狼|神:1	train=4
的的	4	1	的|的	的|的:3 的的:1	train=4
真家伙	4	1	真家伙	真家伙:3 真|家伙:1	train=4
破餐馆	4	1	破|餐馆	破|餐馆:3 破餐馆:1	train=4
穿好	4	1	穿|好	穿|好:3 穿好:1	train=4
糟蹋戏	4	1	糟蹋|戏	糟蹋|戏:3 糟蹋戏:1	train=4
老人们	4	1	老人|们	老人|们:3 老人们:1	train=4
背上	4	1	背|上	背|上:3 背上:1	train=4
能否	4	1	能否	能否:3 能|否:1	train=4
荒野女巫	4	1	荒野|女巫	荒野|女巫:3 荒野女巫:1	train=4
萨尔托留斯	4	1	萨尔托留斯	萨尔托留斯:3 萨尔托|留斯:1	train=4
要好	4	1	要|好	要|好:3 要好:1	train=4
要脸	4	1	要|脸	要|脸:3 要脸:1	train=4
走来	4	1	走来	走来:3 走|来:1	train=4
走来走去	4	1	走来走去	走来走去:3 走|来|走|去:1	train=4
走错	4	1	走错	走错:3 走|错:1	train=4
趴好	4	1	趴|好	趴|好:3 趴好:1	train=4
远道而来	4	1	远道而来	远道而来:3 远道|而来:1	train=4
逃出	4	1	逃|出	逃|出:3 逃出:1	train=4
通电话	4	1	通|电话	通|电话:3 通电话:1	train=4
野兔	4	1	野兔	野兔:3 野|兔:1	train=4
锁门	4	1	锁门	锁门:3 锁|门:1	train=4
露两手	4	1	露|两|手	露|两|手:3 露两手:1	train=4
香甜酒	4	1	香甜酒	香甜酒:3 香甜|酒:1	train=4
马拉尼人	4	1	马拉尼人	马拉尼人:3 马拉尼|人:1	train=4
鬼东西	4	1	鬼东西	鬼东西:3 鬼|东西:1	train=4
一击	3	1	一击	一击:2 一|击:1	train=3
一手	3	1	一手	一手:2 一|手:1	train=3
一时兴起	3	1	一时|兴起	一时|兴起:2 一时兴起:1	train=3
一楼	3	1	一楼	一楼:2 一|楼:1	test=1,train=2
一物	3	1	一物	一物:2 一|物:1	train=3
一百万	3	1	一百万	一百万:2 一|百万:1	train=3
一瞬间	3	1	一瞬间	一瞬间:2 一|瞬间:1	train=3
一笑	3	1	一笑	一笑:2 一|笑:1	train=3
一级	3	1	一|级	一|级:2 一级:1	train=3
一腿	3	1	一腿	一腿:2 一|腿:1	train=3
一针	3	1	一|针	一|针:2 一针:1	train=3
七苦	3	1	七|苦	七|苦:2 七苦:1	train=3
上个	3	1	上|个	上|个:2 上个:1	train=3
上发条	3	1	上发条	上发条:2 上|发条:1	train=3
上天	3	1	上天	上天:2 上|天:1	train=3
上心口	3	1	上|心口	上|心口:2 上心口:1	train=3
上手铐	3	1	上|手铐	上|手铐:2 上手铐:1	test=1,train=2
上瘾	3	1	上瘾	上瘾:2 上|瘾:1	train=3
上等	3	1	上等	上等:2 上|等:1	train=3
不受	3	1	不受	不受:2 不|受:1	train=3
不同意	3	1	不|同意	不|同意:2 不同意:1	train=3
不好吃	3	1	不|好吃	不|好吃:2 不好吃:1	train=3
不妨碍	3	1	不|妨碍	不|妨碍:2 不妨碍:1	train=3
不平	3	1	不平	不平:2 不|平:1	train=3
不快	3	1	不快	不快:2 不|快:1	train=3
不愉快	3	1	不愉快	不愉快:2 不|愉快:1	train=3
不明	3	1	不|明	不|明:2 不明:1	train=3
不晓	3	1	不|晓	不|晓:2 不晓:1	train=3
不爽	3	1	不爽	不爽:2 不|爽:1	train=3
不由得	3	1	不由得	不由得:2 不|由得:1	train=3
不耐烦	3	1	不|耐烦	不|耐烦:2 不耐烦:1	train=3
不顺眼	3	1	不|顺眼	不|顺眼:2 不顺眼:1	train=3
世界末日	3	1	世界末日	世界末日:2 世界|末日:1	train=3
个个	3	1	个个	个个:2 个|个:1	train=3
